ID,Title,Journal,DOI,included,data_state,primary_available,primary_how,secondary_available,secondary_source,secondary_how,can_access_data,analysis_state,analysis_tool,analysis_available,analysis_how,can_access_analysis
96,Low carbon hydrogen production from a waste-based biorefinery system and environmental sustainability assessment,Green Chemistry,10.1039/d0gc03063e,"Yes, process-based environmental LCA on a defined functional unit","Table 1 Inventory data employed for performing LCA ...whereas the secondary data of processes such as production of reactants, nutrients and water were available in the Ecoinvent 3.4 database provided with the SimaPro software","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.4,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
97,Mitigation of environmental impacts in warm-weather wastewater treatment plants using the life cycle assessment tool,International Journal of Environmental Science and Technology,10.1007/s13762-021-03430-y,"Yes, process-based environmental LCA on a defined functional unit", Input data consist of a background (from Ecoinvent 3.5 and literature) and foreground mix.   … Table 2 Data used for input and outputs calculation,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",OpenLCA 1.9 software to evaluate the following categories:,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
98,Biochar produced from wood waste for soil remediation in Sweden: Carbon sequestration and other environmental impacts,Science of the Total Environment,10.1016/j.scitotenv.2021.145953,"Yes, process-based environmental LCA on a defined functional unit",The LCIs of the three scenarios were compiled in the LCA software Brightway2 using the Ecoinvent version 3.6 (cut-off) database ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","A comparative process-based LCA was performed using the LCA framework Brightway2 (Mutel, 2017) and its graphical interface Activity Browser (Steubing et al., 2020).",Brightway2,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
99,Regional CO2 impact assessment of road infrastructure improvements,Transportation Research Part D: Transport and Environment,10.1016/j.trd.2020.102638,"Yes, process-based environmental LCA on a defined functional unit","The life-cycle inventory data for CO2 was developed using the City Road Network Life Cycle Assessment Tool (CiRN-LCA), which is adapted from the Pavement Life-Cycle Assessment Tool for Environmental and Economic Effects (PaLATE) (Fraser and Chester, 2016, Horvath et al., 2004). The CiRN-LCA model is a deterministic model for cradle-to-grave constructions that contains data on material production emissions, transportation-related emissions, and equipment and process emissions. The extensive model details is fully described in previous study (Fraser and Chester, 2016). Appendix A. Detailed LCA Factors includes the factors and processes used in CiRN-LCA model and the current study.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,CiRN-LCA,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,CiRN-LCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
100,Material efficiency and climate change mitigation of passenger vehicles,Journal of Industrial Ecology,10.1111/jiec.13067,"Yes, process-based environmental LCA on a defined functional unit","Vehicle supply chain impacts are calculated using a detailed and comprehensive LCA model, largely based on data points from the GREET2 model and the ecoinvent life-cycle inventory database v3.5, model “allocation, cut-off by classification”   … TABLE 1. Life-cycle emission factors of average global production processes of materials under current and future low-carbon energy supply in kg COurn:x-wiley:10881980:media:jiec13067:jiec13067-math-0015e per kg material.   . (d) Material composition of lightweight vehicles. Underlying data used to create this figure can be found in a data repository at https://doi.org/10.5281/zenodo.3896664","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5; GREET,"Direct presentation in the article (e.g., tables)",NA,"The data that supports the results of this study as well as the MATLAB code used to generate the results can be found in an open repository on Zenodo: https://doi.org/10.5281/zenodo.3896664. FASTSim, which has been used for drive-cycle simulations, is freely available at https://www.nrel.gov/transportation/fastsim.html",MATLAB,"Yes, the analysis scripts (or some of the analysis scripts) are available",An online third party repository,"Yes, can access/download the file, but cannot open the file (e.g., file in a format that is not supported by APPS in my computer)"
101,Carbon footprint assessment of home-stays in Thailand,"Resources, Conservation and Recycling",10.1016/j.resconrec.2020.105123,"Yes, process-based environmental LCA on a defined functional unit",3.2. Data inventory and a system boundary setup … Table 3. Carbon footprint calculations.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
102,Improved environmental sustainability and bioenergy recovery through pig manure and food waste on-farm co-digestion in Ireland,Journal of Cleaner Production,10.1016/j.jclepro.2020.125034,"Yes, process-based environmental LCA on a defined functional unit","Life cycle inventory (LCI) data is obtained from SimaPro software with Ecoinvent 3.5 database (Ecoinvent, 2018). ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
103,Global scale life cycle environmental impacts of single- and multi-walled carbon nanotube synthesis processes,International Journal of Life Cycle Assessment,10.1007/s11367-020-01862-1,"Yes, process-based environmental LCA on a defined functional unit",Environmental impacts are modeled using the SimaPro 8.5.2 software with Ecoinvent 3 and USLCI (U.S. Life Cycle Inventory) databases,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3; USLCI,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ", LCAs are conducted using SimaPro 8.5.2 Software,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
104,Recycling of glass waste into foam glass boards: A comparison of cradle-to-gate life cycles of boards with different foaming agents,Science of the Total Environment,10.1016/j.scitotenv.2021.145276,"Yes, process-based environmental LCA on a defined functional unit",Details of this inventory are shown in Appendix A of the Supplementary Material (Tables A1 to A6). … Other secondary life cycle data were obtained from Ecoinvent3 (v.3.3) and 2.2. ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Umberto NXT Universal 7.1 was used as the LCA software,Umberto,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
105,"Comparison of life cycle toxicity assessment methods for municipal wastewater treatment with the inclusion of direct emissions of metals, PPCPs and EDCs",Science of the Total Environment,10.1016/j.scitotenv.2020.143849,"Yes, process-based environmental LCA on a defined functional unit","Table 2. Life cycle inventories (LCI) of Malaysian STP in three scenarios with/without including direction emissions of metals and PPCPs/EDCs. Values are presented based on 1 m3 of treated wastewater (scenarios 1, 2 and 3) as a functional unit.    The indirect emissions were taken from the Ecoinvent v3.3 with details described in our previous study (Rashid et al., 2020).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.3,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
106,An LCA-based model for assessing prevention versus non-prevention of construction waste in buildings,Waste Management,10.1016/j.wasman.2021.03.047,"Yes, process-based environmental LCA on a defined functional unit",,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v1.2,NA,NA,The generic impacts (F) were obtained for 1 ton of each CW fraction using SimaPro 7.1 (Table 4).,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
107,Effective and sustainable use of municipal solid waste incineration bottom ash in concrete regarding strength and durability,"Resources, Conservation and Recycling",10.1016/j.resconrec.2020.105356,"Yes, process-based environmental LCA on a defined functional unit","done in the LCA software SimaPro (Version 9.0.0.49) equipped with the EcoInvent database (Version 3.4).  when selecting the most suitable EcoInvent data, one perhaps crucial differentiation could not be made vis-à-vis cement choice. ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.4,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
108,Environmental performance of shared micromobility and personal alternatives using integrated modal LCA,Transportation Research Part D: Transport and Environment,10.1016/j.trd.2021.102743,"Yes, process-based environmental LCA on a defined functional unit","we perform a process-based LCA, using the OpenLCA open-source software and the consequential LCIs from the Ecoinvent V3.2 database  … Table 1. Annual road traffic and infrastructure allocation factor in Paris inner-city.","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.2,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
109,Environmental impact assessment of pavement road bases with reuse and recycling strategies: A comparative study on geopolymer stabilized macadam and conventional alternatives,Transportation Research Part D: Transport and Environment,10.1016/j.trd.2021.102749,"Yes, process-based environmental LCA on a defined functional unit",3. Life cycle inventory (LCI)   Table 1. Mixture proportions of base materials.   Ecoinvent 3 database was used as primary data source,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
110,"Comparative life cycle assessment of system solution scenarios for residual municipal solid waste management in NSW, Australia",Science of the Total Environment,10.1016/j.scitotenv.2020.144355,"Yes, process-based environmental LCA on a defined functional unit","The attributional LCA model with average data was employed in the LCI of this study. The data inventory was modelled using OpenLCA 1.9 and by employing Ecoinvent V3.5 database (Ecoinvent, 2019) and data extracted from LCA studies","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,NA,Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
111,Life cycle assessment of low-temperature thermal desorption-based technologies for drill cuttings treatment,Journal of Hazardous Materials,10.1016/j.jhazmat.2020.123865,"Yes, process-based environmental LCA on a defined functional unit","3.1.2. Life cycle inventory  . The impacts of energy generation, transportation, gaseous emissions, and by-product treatment/disposal were collected from Ecoinvent 3.3 database in SimaPro™ 8.5.2.0.   Table 1. Life cycle inventory for treatment of 1000 tons of OBCD using three LTTD-based systems.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.3,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
112,A novel food waste management framework combining optical sorting system and anaerobic digestion: A case study in Malaysia,Energy,10.1016/j.energy.2021.121094,"Yes, process-based environmental LCA on a defined functional unit","The data sources are mainly collected from Malaysian Government official websites and reports, refereed journals, and the Ecoinvent database 3.7. ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.7,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The collected data are characterised using SimaPro 9.0 software.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
113,In pursuit of sustainable cutting fluid strategy for machining Ti-6Al-4V using life cycle analysis,Sustainable Materials and Technologies,10.1016/j.susmat.2021.e00301,"Yes, process-based environmental LCA on a defined functional unit","For calculating the impact due to Canola oil used in MQL machining, the data available at Ecoinvent 3.5 were used. Table 3 presents the description of inventory used in this study for one FU and a detailed summary regarding LCI data considered in this study was mentioned in Table 4.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",various sources,"Direct presentation in the article (e.g., tables)",NA,The LCA analysis was performed on SimaPro 9.1.0 software using the ReCiPe 2016 (H) LCIA methodology.,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
114,Life Cycle Assessment of Struvite Precipitation from Anaerobically Digested Dairy Manure: A Wisconsin Perspective,Integrated Environmental Assessment and Management,10.1002/ieam.4318,"Yes, process-based environmental LCA on a defined functional unit",Statement:  Data Availability Statement  Background data and further calculations are provided in the Supplemental Data document.  ... Table S5. Life cycle inventory data and unit process details for bench-scale struvite precipitation per 1?kg of AD-L-dairy manure treated  ... Environmental impacts of the current system are modeled using the SimaPro 8.5.2 software (PRé Sustainability 2020) with Ecoinvent 3 (Ecoinvent 2020) and United States Life Cycle Inventory (USLCI) ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3; USLCI,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
115,Moving from linear to circular household plastic packaging in Belgium: Prospective life cycle assessment of mechanical and thermochemical recycling,"Resources, Conservation and Recycling",10.1016/j.resconrec.2021.105633,"Yes, process-based environmental LCA on a defined functional unit","detailed data required for the foreground system were gathered from Belgian key actors and adapted for each waste fraction in collaboration with experts from both academia and industry during the period 2018-2020, whereas the data for the background system was retrieved from secondary sources like LCA databases. .. ","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",the ecoinvent v3.6 cut-off modelling library was used in SimaPro v.9 ,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
116,Development and application of a life cycle energy consumption and CO2 emissions analysis model for high-speed railway transport in China,Advances in Climate Change Research,10.1016/j.accre.2021.02.001,"Yes, process-based environmental LCA on a defined functional unit", Table 2. Consumption list of main materials and end-use energy.  Table 3. Energy consumption and carbon emission factors of energy and some materials.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent; CLCD,"Direct presentation in the article (e.g., tables)",NA,TLCAM (Tsinghua-LCA Model),TLCAM (Tsinghua-LCA Model),"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
117,Life cycle assessment for hydrothermal carbonization of urban organic solid waste in comparison with gasification process: A case study of Southern Chile,Environmental Progress and Sustainable Energy,10.1002/ep.13688,"Yes, process-based environmental LCA on a defined functional unit","2.3 Life cycle inventory analysis   LCA modeling was performed using OpenLCA, open-source software for the analysis of the life cycle and sustainability. This software has been used to study renewable energies and waste energy recoveries, such as References 40 and 41. The public database ELCD 3.2 was used for the emissions inventory and calculations","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,ELCD,NA,NA,Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
118,Comparative life cycle assessment of heavy-duty drivetrains: A Norwegian study case,Transportation Research Part D: Transport and Environment,10.1016/j.trd.2021.102836,"Yes, process-based environmental LCA on a defined functional unit","The compiled LCI was based on a bill of materials (BOM) of a twelve tons conventional truck, found in the literature (Skinner, 2015). When such data was not available, European datasets were adopted before making use of any global ones. Ecoinvent 3.4 and the ILCD databases were used to complement and tide up the LCI.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.4; ILCD; various sources,NA,NA,"The CML 2001 characterization method, available in OpenLCA software (version 1.7 is used here) is employed to conduct life cycle impact assessment",openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
119,Life cycle-based water footprint analysis of ceramic filter for point-of-use water purification in remote areas,Science of the Total Environment,10.1016/j.scitotenv.2021.147424,"Yes, process-based environmental LCA on a defined functional unit","The water footprint of rice ranges between 1.180 and 2.450 m3/kg in China, and the national average is 1.390 m3/kg (Wang et al., 2014). The allocation ratio of rice to rice husk is 0.35:0.65 (Mandade et al., 2015). ...  It was assumed that raw materials would be transported by diesel-fueled trucks from the place of origin, in accordance with the common practice for large cargo transportation in China. … ","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
120,Environmental profile of natural biological vanillin production via life cycle assessment,Journal of Cleaner Production,10.1016/j.jclepro.2021.127399,"Yes, process-based environmental LCA on a defined functional unit",Inventory data for the investigated scenarios are summarized in the Supporting Information. ,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,"Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.4,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ","The Ecoinvent 3.4 database, coupled with openLCA software, was used to convert the inventory data into assessment results.",openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
121,Evaluation of e-waste management systems in Malaysia using life cycle assessment and material flow analysis,Journal of Cleaner Production,10.1016/j.jclepro.2021.127358,"Yes, process-based environmental LCA on a defined functional unit","The primary data sources for materials recovery processes was the study by Xue et al. (2015) (Table 2), where the study evaluated materials recovery processes for PWB in China. In contrast, data for incineration processes were based on the study by Li et al. (2015) (Table 3), ... Table 5. Major background data, including primary production of four secondary materials and energy based on ecoinvent database (Wernet et al., 2016).","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3,"Direct presentation in the article (e.g., tables)",NA,"This study was conducted using a generic LCA software SimaPro (PRé Sustainability, 2020), integrated with the ecoinvent 3 database",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
122,Assessment of small mechanical wastewater treatment plants: Relative life cycle environmental impacts of construction and operations,Journal of Environmental Management,10.1016/j.jenvman.2021.112802,"Yes, process-based environmental LCA on a defined functional unit","A list of the specific communities analyzed in this study and their respective plant type, recorded population (United States Census Bureau, 2010), and flow rates (US EPA, 2019) are presented in Supplemental Information (SI) Table S1.  …  Background data was collected using the Ecoinvent Database v3.3.  ...  A complete list of this data inventory, as entered into SimaPro, is provided in SI Table S2. Fig. 2","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.3,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
123,Novel insights in dimethyl carbonate-based extraction of polyhydroxybutyrate (PHB),Biotechnology for Biofuels,10.1186/s13068-020-01849-y,"Yes, process-based environmental LCA on a defined functional unit","Regarding the database, Ecoinvent 3.4 was implemented in the internationally acknowledged SimaPro 8 software to build the LCA. To be as replicable and transparent as possible, the dataset has been declared. Dataset names from Ecoinvent database used to conduct the comparative LCA are shown in Table 6.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.4,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
124,Upgrading wineries to biorefineries within a Circular Economy perspective: An Italian case study,Science of the Total Environment,10.1016/j.scitotenv.2021.145809,"Yes, process-based environmental LCA on a defined functional unit","The inventory of this study is provided in Appendix 2 (Table A2), with reference to the selected FU (1 bottle of wine). …  whereas background data were derived from the most updated version of EcoInvent database, such as averaged European data for materials and chemicals and the medium-voltage Italian electricity mix","Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,"Yes, can access, download, and open the file. ","The software SimaPro 9.0.0.49 (Goedkoop et al., 2016; Oele, 2019), coupled with the database EcoInvent v.3.5, was used to analyse the Life Cycle Inventory ",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
125,LCA and economic study on the local oxygen supply in Central Europe during the COVID-19 pandemic,Science of the Total Environment,10.1016/j.scitotenv.2021.147401,"Yes, process-based environmental LCA on a defined functional unit","Data regarding the distance of oxygen transportation, the vehicle used, and the fuel needed were obtained from the local hospital and the gas supplier in Poland. In Table 2 - the authors present the input and output data used for the calculation of the environmental impact.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",No – there is no data availability statement,N/A,NA,NA,"The LCA was performed according to ISO 14040 -14044 standards requirements, using the SimaPro 9.0 software. ",SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
126,Life cycle assessment of the Spanish virgin olive oil production: A case study for Andalusian region,Journal of Cleaner Production,10.1016/j.jclepro.2020.125677,"Yes, process-based environmental LCA on a defined functional unit","The processed data is operated by the software SimaPro 9.0 (“System for Integrated Environmental Assessment of Products”), which takes representative values of environmental impact from different databases (ecoinvent 3.5, Agri-footprint 4.0, ELCD, Industry data 2.0, Method","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ","Yes – secondary LCI data identifiable and available, but reproducibility is not possible due to a lack of more detailed information",Ecoinvent v3.5; Agri-footprint; ELCD; Industry data 2.0,"Direct presentation in the article (e.g., tables)",NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
127,Waste high-density polyethylene recycling process systems for mitigating plastic pollution through a sustainable design and synthesis paradigm,AIChE Journal,10.1002/aic.17127,"Yes, process-based environmental LCA on a defined functional unit","specifically, the mass and energy balances for the offsite production of utilities and natural gas, transportation of HDPE and natural gas, as well as each technology alternative within the waste HDPE recycling process systems are quantified by the predefined functional unit.29 The data of these LCIs are extracted from Ecoinvent V3.6 database and process simulations developed in Aspen Plus.56   TABLE 1. Calculated product distribution for three optimal solutions A, B, and C  ... Table S18. Data for ReCiPe mid-point score of chemical component k, the m denotes impact categories.  Table S19. Data for ReCiPe mid-point score of heat and other inventories, the m denotes impact categories.28,29","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",N/A,N/A,"No, no analysis script availability statement. ",NA,NA
128,Life cycle assessment of prospective sewage sludge treatment paths in Germany,Journal of Environmental Management,10.1016/j.jenvman.2021.112557,"Yes, process-based environmental LCA on a defined functional unit","The eLCA was conducted according to the ISO 14040 and 14,044. In this study, the product systems were modelled in openLCA 1.10 (GreenDelta, 2019) and the ecoinvent database 3.5 (Wernet et al., 2016) was used to model processes of the background system.  ...  2.2. Life cycle inventory (LCI)  Data was mainly sourced from literature, but especially for innovative waste treatment paths such as pyrolysis or HTC, a larger share of data on the energy consumption and production patterns as well as on the distribution of mass were modelled in Microsoft Excel (2019) coupled with Matlab-Simulink (v. R 2018a). ... Table 3. Life cycle inventory of the considered treatment systems.","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.5,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",Refer to data availability statement,openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
129,"PBAT-based Microfiltration Membranes Using Porogen Saturated Solutions: Architecture, Morphology, and Environmental Profile",Journal of Polymers and the Environment,10.1007/s10924-021-02189-0,"Yes, process-based environmental LCA on a defined functional unit",Statement:  Data Availability  The raw/processed data required to reproduce these findings cannot be shared at this time as the data also forms part of an ongoing study.,"Yes, primary LCI data are NOT available.  ",NA,Yes – only mentioning the sources of secondary database,Ecoinvent v3.4,NA,NA,"An LCA was conducted with the support of LCA open-source software openLCA 1.9, using the ecoinvent 3.4 ",openLCA,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
130,"Life-cycle assessment of municipal solid waste management options: A case study of refuse derived fuel production in the city of Brasilia, Brazil",Journal of Cleaner Production,10.1016/j.jclepro.2020.123696,"Yes, process-based environmental LCA on a defined functional unit",Table 4. Energy consumption and emissions factors used in LCI construction. … Table 5. Life Cycle Inventory - Balance of inputs and outputs in the treatment of 1 Mg of MSW in each scenario. ,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,various sources,"Direct presentation in the article (e.g., tables)",NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
131,Carbon footprint of drinking water softening as determined by life cycle assessment,Journal of Cleaner Production,10.1016/j.jclepro.2020.123925,"Yes, process-based environmental LCA on a defined functional unit",2.3. Data collection & quality,"Yes, primary LCI data (or some of the data) are available   ",Supplementary information hosted by the journal         ,Yes – secondary LCI data are identifiable and available to the level that the study can be reproduced,Ecoinvent v3.6,Supplementary information hosted by the journal     ,"Yes, can access, download, and open the file. ",The scenarios are modelled in the SimaPro 9.1 LCA software. ,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
132,"Upcycling food waste using black soldier fly larvae: Effects of further composting on frass quality, fertilising effect and its global warming potential",Journal of Cleaner Production,10.1016/j.jclepro.2020.125664,"Yes, process-based environmental LCA on a defined functional unit",Table 2. Key Life Cycle Inventory data estimates that were derived from the BSF rearing experiment.,"Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.0,NA,NA,N/A,N/A,"No, no analysis script availability statement. ",NA,NA
133,"Environmental analysis along the supply chain of dark, milk and white chocolate: a life cycle comparison",International Journal of Life Cycle Assessment,10.1007/s11367-020-01817-6,"Yes, process-based environmental LCA on a defined functional unit","Table 2 Input data for the farm of 1 kg of dried cocoa beans (EcuadorEC, Ghana GH, Indonesia monoculture system IDm, Indonesia agroforestry system IDa)   The study is performed using the simulation software SimaPro 9 and the database Ecoinventv.3.5","Yes, primary LCI data (or some of the data) are available   ","Direct presentation in the article (e.g., tables)      ",Yes – only mentioning the sources of secondary database,Ecoinvent v3.5,NA,NA,Refer to data availability statement,SimaPro,"Yes, analysis scripts are NOT available OR the statement does not mention whether the scripts are available.",NA,NA
